Symbol,Sector,Industry
VCTR,Financials,Asset Management & Custody Banks
VCYT,Health Care,Health Care Services
VECO,Information Technology,Semiconductor Materials & Equipment
VIAV,Information Technology,Communications Equipment
VICR,Industrials,Electrical Components & Equipment
VIR,Health Care,Biotechnology
VIRT,Financials,Financial Exchanges & Data
VITL,Consumer Staples,Agricultural Products & Services
VRE,Real Estate,Office REITs
VRRM,Industrials,Data Processing & Outsourced Services
VRTS,Financials,Asset Management & Custody Banks
VSAT,Information Technology,Communications Equipment
VSCO,Consumer Discretionary,Apparel Retail
VSH,Information Technology,Electronic Components
VSNT,Communication Services,Cable & Satellite
VSTS,Industrials,Diversified Support Services
VTOL,Energy,Oil & Gas Equipment & Services
VYX,Information Technology,IT Consulting & Other Services
WABC,Financials,Regional Banks
WAFD,Financials,Regional Banks
WAY,Health Care,Health Care Technology
WD,Financials,Commercial & Residential Mortgage Finance
WDFC,Consumer Staples,Household Products
WEN,Consumer Discretionary,Restaurants
WERN,Industrials,Cargo Ground Transportation
WGO,Consumer Discretionary,Automobile Manufacturers
WHD,Energy,Oil & Gas Equipment & Services
WKC,Energy,Oil & Gas Refining & Marketing
WLY,Communication Services,Publishing
WOR,Industrials,Building Products
WRLD,Financials,Consumer Finance
WS,Materials,Steel
WSC,Industrials,Office Services & Supplies
WSFS,Financials,Regional Banks
WSR,Real Estate,Retail REITs
WT,Financials,Asset Management & Custody Banks
WU,Financials,Transaction & Payment Processing Services
WWW,Consumer Discretionary,Footwear
XHR,Real Estate,Hotel & Resort REITs
XNCR,Health Care,Biotechnology
XPEL,Consumer Discretionary,Automotive Parts & Equipment
YELP,Communication Services,Interactive Media & Services
YOU,Information Technology,Application Software
ZD,Communication Services,Advertising
ZWS,Industrials,Industrial Machinery & Supplies & Components
